overall_rating,pros_sentiment,cons_sentiment,pros_sentiment_score,cons_sentiment_score,overall_sentiment
2,Positive,Negative,0.8481,-0.5719,Positive
3,Positive,Negative,0.4404,-0.4767,Negative
4,Positive,Negative,0.8676,-0.4641,Positive
4,Positive,Neutral,0.4404,0.0,Positive
5,Neutral,Positive,0.0,0.3818,Positive
1,Negative,Negative,-0.4215,-0.6437,Negative
3,Positive,Positive,0.7717,0.3182,Positive
1,Positive,Positive,0.6249,0.7889,Positive
1,Negative,Negative,-0.0826,-0.5171,Negative
4,Positive,Negative,0.743,-0.4588,Positive
5,Positive,Positive,0.891,0.2023,Positive
5,Positive,Neutral,0.8271,0.0,Positive
4,Positive,Negative,0.8885,-0.6692,Positive
2,Positive,Negative,0.296,-0.5267,Neutral
5,Positive,Negative,0.4404,-0.3182,Positive
3,Positive,Positive,0.6486,0.0697,Positive
4,Positive,Negative,0.8519,-0.296,Positive
4,Positive,Negative,0.9423,-0.3612,Positive
4,Positive,Positive,0.4939,0.3818,Positive
4,Positive,Positive,0.1531,0.1531,Positive
3,Positive,Positive,0.911,0.5574,Positive
3,Positive,Negative,0.7709,-0.5719,Positive
3,Positive,Positive,0.4404,0.6249,Positive
4,Positive,Negative,0.8478,-0.25,Positive
3,Positive,Neutral,0.3612,0.0,Positive
4,Positive,Negative,0.4404,-0.7869,Negative
2,Positive,Negative,0.4927,-0.2023,Positive
3,Positive,Neutral,0.4404,0.037,Positive
5,Positive,Negative,0.3612,-0.5327,Positive
5,Positive,Negative,0.4404,-0.296,Positive
5,Neutral,Neutral,0.0,0.0,Positive
2,Positive,Negative,0.8268,-0.1531,Positive
5,Positive,Negative,0.9001,-0.5719,Positive
5,Positive,Positive,0.9826,0.675,Positive
3,Positive,Negative,0.9765,-0.9042,Positive
4,Neutral,Neutral,0.0,0.0,Neutral
5,Positive,Positive,0.5106,0.5647,Positive
2,Positive,Negative,0.8883,-0.2732,Positive
1,Positive,Negative,0.296,-0.5574,Negative
1,Neutral,Negative,0.0,-0.9325,Negative
2,Positive,Negative,0.2263,-0.8701,Negative
5,Positive,Negative,0.7351,-0.296,Positive
3,Positive,Negative,0.4927,-0.5849,Negative
4,Positive,Negative,0.6597,-0.5994,Positive
1,Positive,Negative,0.8797,-0.2732,Positive
4,Positive,Neutral,0.7717,0.0,Positive
4,Positive,Negative,0.4404,-0.296,Positive
5,Positive,Neutral,0.8176,0.0,Positive
3,Positive,Neutral,0.5267,0.0,Negative
4,Positive,Negative,0.128,-0.1761,Neutral
4,Positive,Positive,0.765,0.2732,Positive
5,Positive,Negative,0.8834,-0.7906,Neutral
3,Positive,Positive,0.5267,0.4939,Positive
4,Positive,Negative,0.8442,-0.4023,Positive
4,Positive,Positive,0.4215,0.6478,Positive
4,Neutral,Neutral,0.0,0.0,Neutral
4,Positive,Negative,0.5106,-0.3535,Positive
4,Positive,Positive,0.7906,0.7681,Positive
4,Positive,Positive,0.5859,0.2359,Positive
5,Neutral,Neutral,-0.0,0.0,Negative
3,Positive,Negative,0.7269,-0.2628,Positive
3,Positive,Negative,0.8955,-0.3612,Positive
2,Positive,Negative,0.4404,-0.5423,Positive
3,Positive,Positive,0.6249,0.204,Positive
3,Positive,Negative,0.8442,-0.5574,Positive
4,Positive,Neutral,0.3818,0.0,Positive
4,Positive,Neutral,0.8957,0.0,Positive
4,Neutral,Negative,0.0,-0.5423,Negative
5,Positive,Negative,0.9256,-0.296,Positive
5,Positive,Positive,0.9829,0.103,Positive
4,Positive,Negative,0.8176,-0.5719,Positive
3,Positive,Negative,0.3818,-0.7269,Negative
2,Positive,Neutral,0.4404,0.0,Positive
4,Negative,Neutral,-0.1027,0.0,Negative
4,Positive,Negative,0.9584,-0.3818,Positive
5,Positive,Neutral,0.4404,0.0,Positive
3,Positive,Negative,0.6597,-0.2682,Positive
2,Positive,Neutral,0.6369,0.0,Positive
4,Positive,Positive,0.4404,0.658,Positive
5,Positive,Neutral,0.7713,0.0,Positive
3,Positive,Negative,0.8481,-0.5358,Positive
4,Positive,Negative,0.765,-0.3818,Positive
5,Positive,Neutral,0.6908,0.0,Positive
4,Positive,Negative,0.5799,-0.296,Positive
5,Positive,Neutral,0.8016,0.0,Positive
3,Positive,Neutral,0.836,0.0,Positive
4,Neutral,Neutral,0.0,0.0,Positive
4,Positive,Negative,0.2263,-0.7906,Negative
5,Positive,Neutral,0.5984,0.0,Positive
4,Positive,Positive,0.7245,0.5719,Positive
3,Positive,Negative,0.8625,-0.8016,Positive
4,Positive,Negative,0.6249,-0.2263,Positive
5,Positive,Negative,0.9517,-0.4717,Positive
4,Positive,Positive,0.6901,0.3612,Positive
3,Positive,Negative,0.6369,-0.4215,Positive
3,Positive,Negative,0.7761,-0.3089,Positive
1,Positive,Negative,0.5214,-0.296,Positive
2,Positive,Positive,0.6369,0.3612,Positive
1,Positive,Negative,0.1909,-0.1353,Neutral
5,Positive,Positive,0.9975,0.9743,Positive
5,Positive,Positive,0.6486,0.431,Positive
5,Positive,Negative,0.8658,-0.296,Positive
5,Positive,Negative,0.9949,-0.7476,Positive
2,Positive,Positive,0.6249,0.4939,Positive
5,Positive,Neutral,0.7227,-0.0083,Positive
2,Positive,Positive,0.3612,0.7003,Positive
5,Positive,Negative,0.6249,-0.0516,Positive
3,Neutral,Positive,0.0,0.1761,Positive
1,Positive,Negative,0.886,-0.8089,Positive
4,Positive,Positive,0.9153,0.1779,Positive
5,Positive,Positive,0.8271,0.6249,Positive
4,Positive,Negative,0.4754,-0.3241,Positive
4,Positive,Positive,0.7003,0.3818,Positive
3,Positive,Negative,0.4404,-0.7786,Negative
3,Positive,Positive,0.8481,0.7684,Positive
5,Positive,Neutral,0.4404,0.0,Positive
5,Positive,Negative,0.5719,-0.2732,Positive
2,Positive,Neutral,0.6908,0.0,Positive
3,Positive,Negative,0.8748,-0.4588,Positive
5,Positive,Neutral,0.8832,0.0,Positive
5,Positive,Neutral,0.6249,0.0,Positive
5,Positive,Neutral,0.8225,0.0,Positive
4,Positive,Negative,0.8221,-0.7524,Positive
5,Positive,Negative,0.9702,-0.1812,Positive
1,Positive,Negative,0.3384,-0.1027,Positive
3,Positive,Neutral,0.2263,0.0,Positive
5,Positive,Neutral,0.9245,0.0,Positive
3,Positive,Neutral,0.3818,0.0,Positive
3,Positive,Positive,0.7906,0.5994,Positive
4,Positive,Negative,0.8957,-0.6192,Positive
5,Positive,Neutral,0.8519,0.0,Positive
4,Positive,Negative,0.8834,-0.3182,Positive
5,Positive,Negative,0.7964,-0.5267,Positive
5,Positive,Neutral,0.8555,0.0,Positive
4,Positive,Negative,0.9859,-0.2484,Positive
4,Positive,Neutral,0.3818,0.0,Positive
5,Positive,Neutral,0.6249,0.0,Positive
4,Positive,Negative,0.4548,-0.1877,Positive
3,Positive,Positive,0.3818,0.296,Positive
4,Positive,Negative,0.8313,-0.552,Positive
4,Positive,Neutral,0.1531,0.0,Positive
4,Positive,Neutral,0.7096,0.0,Positive
5,Positive,Neutral,0.8933,0.0,Positive
3,Positive,Negative,0.8316,-0.296,Positive
3,Positive,Negative,0.9611,-0.9109,Positive
4,Positive,Positive,0.4404,0.3612,Positive
2,Positive,Positive,0.6597,0.9885,Positive
1,Neutral,Negative,0.0,-0.6369,Negative
4,Positive,Negative,0.5106,-0.2263,Positive
5,Positive,Positive,0.7296,0.128,Positive
5,Positive,Positive,0.8658,0.3626,Positive
5,Positive,Positive,0.8658,0.5784,Positive
3,Neutral,Negative,0.0,-0.1027,Neutral
4,Positive,Negative,0.6705,-0.296,Positive
5,Positive,Neutral,0.8074,0.0,Positive
3,Positive,Neutral,0.8442,0.0,Positive
5,Positive,Positive,0.9677,0.2263,Positive
3,Positive,Negative,0.7783,-0.4767,Positive
4,Neutral,Neutral,0.0,0.0,Positive
3,Positive,Negative,0.8126,-0.3182,Positive
5,Positive,Positive,0.8807,0.431,Positive
4,Positive,Negative,0.5562,-0.292,Neutral
5,Negative,Positive,-0.1027,0.4404,Positive
3,Positive,Negative,0.6705,-0.296,Positive
2,Positive,Negative,0.7783,-0.5859,Negative
3,Positive,Neutral,0.4404,0.0,Positive
5,Neutral,Neutral,0.0,0.0,Neutral
5,Positive,Negative,0.9201,-0.34,Positive
3,Positive,Negative,0.2263,-0.4249,Positive
5,Positive,Negative,0.872,-0.2479,Positive
4,Positive,Neutral,0.5994,0.0018,Positive
2,Positive,Negative,0.8625,-0.3182,Positive
5,Positive,Neutral,0.4019,0.0,Positive
5,Positive,Negative,0.6369,-0.4215,Positive
4,Positive,Positive,0.6249,0.5927,Positive
3,Positive,Positive,0.802,0.7269,Positive
